params,MSE,status
"(0, 0, 0)",0.16043305069740663,SUCESSO
"(0, 0, 1)",0.043937442070397195,SUCESSO
"(0, 0, 2)",,FALHA
"(0, 0, 3)",,FALHA
"(0, 1, 0)",0.0006454785035478639,SUCESSO
"(0, 1, 1)",0.0005835371419675619,SUCESSO
"(0, 1, 2)",0.0005861709861110808,SUCESSO
"(0, 1, 3)",0.0005868825185606179,SUCESSO
"(0, 2, 0)",0.0009196980972389773,SUCESSO
"(0, 2, 1)",0.0007113886302467369,SUCESSO
"(0, 2, 2)",0.0006034679264096008,SUCESSO
"(0, 2, 3)",,FALHA
"(0, 3, 0)",,FALHA
"(0, 3, 1)",,FALHA
"(0, 3, 2)",,FALHA
"(0, 3, 3)",,FALHA
"(1, 0, 0)",0.000655470157086994,SUCESSO
"(1, 0, 1)",0.0005934779397272919,SUCESSO
"(1, 0, 2)",0.0005962710277663131,SUCESSO
"(1, 0, 3)",0.0005967325533248253,SUCESSO
"(1, 1, 0)",0.0005886743647896728,SUCESSO
"(1, 1, 1)",0.000586850642510548,SUCESSO
"(1, 1, 2)",,FALHA
"(1, 1, 3)",,FALHA
"(1, 2, 0)",0.0008522888016791586,SUCESSO
"(1, 2, 1)",0.0006010589423391905,SUCESSO
"(1, 2, 2)",0.0006029141733472251,SUCESSO
"(1, 2, 3)",0.0006051635944158407,SUCESSO
"(1, 3, 0)",,FALHA
"(1, 3, 1)",,FALHA
"(1, 3, 2)",,FALHA
"(1, 3, 3)",,FALHA
"(2, 0, 0)",0.0005990382837965554,SUCESSO
"(2, 0, 1)",0.000597195624543429,SUCESSO
"(2, 0, 2)",,FALHA
"(2, 0, 3)",,FALHA
"(2, 1, 0)",0.0005864461449540277,SUCESSO
"(2, 1, 1)",0.0005872845125614128,SUCESSO
"(2, 1, 2)",0.0005955374563566164,SUCESSO
"(2, 1, 3)",,FALHA
"(2, 2, 0)",0.0007944775416552481,SUCESSO
"(2, 2, 1)",,FALHA
"(2, 2, 2)",,FALHA
"(2, 2, 3)",,FALHA
"(2, 3, 0)",,FALHA
"(2, 3, 1)",,FALHA
"(2, 3, 2)",,FALHA
"(2, 3, 3)",,FALHA
"(3, 0, 0)",0.0005970210819137294,SUCESSO
"(3, 0, 1)",0.0005974659541015803,SUCESSO
"(3, 0, 2)",,FALHA
"(3, 0, 3)",,FALHA
"(3, 1, 0)",0.0006043374005990104,SUCESSO
"(3, 1, 1)",0.0006094196366695803,SUCESSO
"(3, 1, 2)",0.0006162445963488901,SUCESSO
"(3, 1, 3)",,FALHA
"(3, 2, 0)",0.0007815588629916452,SUCESSO
"(3, 2, 1)",0.0006120872286582196,SUCESSO
"(3, 2, 2)",,FALHA
"(3, 2, 3)",,FALHA
"(3, 3, 0)",,FALHA
"(3, 3, 1)",,FALHA
"(3, 3, 2)",,FALHA
"(3, 3, 3)",,FALHA
"(4, 0, 0)",0.000615333472122816,SUCESSO
"(4, 0, 1)",0.0006211929689564101,SUCESSO
"(4, 0, 2)",0.0006290824876422274,SUCESSO
"(4, 0, 3)",0.0006152805093968636,SUCESSO
"(4, 1, 0)",0.0006139210670760152,SUCESSO
"(4, 1, 1)",,FALHA
"(4, 1, 2)",,FALHA
"(4, 1, 3)",,FALHA
"(4, 2, 0)",0.0007537393751835714,SUCESSO
"(4, 2, 1)",,FALHA
"(4, 2, 2)",,FALHA
"(4, 2, 3)",,FALHA
"(4, 3, 0)",,FALHA
"(4, 3, 1)",,FALHA
"(4, 3, 2)",,FALHA
"(4, 3, 3)",,FALHA
"(5, 0, 0)",0.0006255558451242301,SUCESSO
"(5, 0, 1)",,FALHA
"(5, 0, 2)",,FALHA
"(5, 0, 3)",,FALHA
"(5, 1, 0)",0.0006208871672044702,SUCESSO
"(5, 1, 1)",,FALHA
"(5, 1, 2)",,FALHA
"(5, 1, 3)",,FALHA
"(5, 2, 0)",0.0007283858203169598,SUCESSO
"(5, 2, 1)",,FALHA
"(5, 2, 2)",,FALHA
"(5, 2, 3)",,FALHA
"(5, 3, 0)",,FALHA
"(5, 3, 1)",,FALHA
"(5, 3, 2)",,FALHA
"(5, 3, 3)",,FALHA
"(6, 0, 0)",0.0006313615373016343,SUCESSO
"(6, 0, 1)",,FALHA
"(6, 0, 2)",,FALHA
"(6, 0, 3)",,FALHA
"(6, 1, 0)",0.0006214336503103606,SUCESSO
"(6, 1, 1)",,FALHA
"(6, 1, 2)",,FALHA
"(6, 1, 3)",,FALHA
"(6, 2, 0)",0.0007179654983338707,SUCESSO
"(6, 2, 1)",,FALHA
"(6, 2, 2)",,FALHA
"(6, 2, 3)",,FALHA
"(6, 3, 0)",,FALHA
"(6, 3, 1)",,FALHA
"(6, 3, 2)",,FALHA
"(6, 3, 3)",,FALHA
"(7, 0, 0)",0.0006319539665432193,SUCESSO
"(7, 0, 1)",0.0006356230207582807,SUCESSO
"(7, 0, 2)",,FALHA
"(7, 0, 3)",,FALHA
"(7, 1, 0)",0.0006244264022322163,SUCESSO
